	SM-80-14.counts.txt.filtered	SM-80-28.counts.txt.filtered	SM-80-7.counts.txt.filtered	SM-80.counts.txt.filtered
Acer_saccharum_022416_comp10000_c0_seq1	1	1	1	1
Acer_saccharum_022416_comp10001_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp10003_c0_seq1	79.1762060458375	110.661459292122	63.8218786941188	231.522049909623
Acer_saccharum_022416_comp10004_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp10005_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp10006_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp10007_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp10008_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp1000_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp10010_c0_seq1	0	1.84827514167505	1.75614550254851	0
Acer_saccharum_022416_comp10011_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp10013_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp10014_c0_seq1	195.402981103238	134.239292753816	41.8190044132055	1.30326504515559
Acer_saccharum_022416_comp10015_c0_seq1	0	0	0.888813702360179	0
Acer_saccharum_022416_comp10016_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp10016_c1_seq1	0	0	0	0
Acer_saccharum_022416_comp10017_c0_seq1	0	1.44971344050815	0	0
Acer_saccharum_022416_comp10018_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp1001_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp10022_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp10023_c0_seq1	1.8636623009023	1.76305208038744	0	0
Acer_saccharum_022416_comp10024_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp10025_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp10026_c0_seq1	0	0	1.46788929632211	0
Acer_saccharum_022416_comp10027_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp10029_c0_seq1	0	0.983567639701674	0	1.7474647068485
Acer_saccharum_022416_comp1002_c0_seq1	0	0	0	3.41799700521938
Acer_saccharum_022416_comp1002_c0_seq2	0	0	0	0
Acer_saccharum_022416_comp10031_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp10032_c0_seq1	0	2.70698704378071	0	0
Acer_saccharum_022416_comp10033_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp10034_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp10035_c0_seq1	0	0	0	0
Acer_saccharum_022416_comp10036_c0_seq1	0	0	0	0
